Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2002;12;    -2.11;    -2.12;     2.66;     0.73;     1.30;    -1.62;    -0.19;    -0.20;     2.09;     2.88;    -0.18;     3.56;    -1.84;    -1.38;    -1.20;    -0.97;     0.34;
2003;12;     2.34;     2.33;     0.91;     0.12;     1.63;     2.85;     2.96;     2.97;     3.07;     2.16;     3.33;     2.60;     1.29;     2.21;     1.65;     0.94;     1.81;
2004;12;     2.11;     2.10;    -0.06;    -0.74;     0.21;     3.08;     2.62;     2.64;     1.70;     0.37;     3.34;     0.44;     0.78;     1.85;     1.12;     0.19;     1.08;
2005;12;     1.10;     1.09;    -0.32;    -1.18;     1.00;     1.54;     2.64;     2.65;     2.47;     1.16;     2.45;     1.25;     0.27;     1.46;     0.95;     0.31;     0.87;
2006;12;     5.39;     5.38;     2.98;     2.13;     4.09;     6.04;     6.15;     6.16;     5.43;     4.06;     6.69;     4.17;     4.30;     5.41;     4.76;     3.94;     4.43;
2007;12;     2.16;     2.15;     0.40;    -0.19;     1.29;     2.78;     3.01;     3.02;     2.80;     1.57;     3.44;     1.61;     1.08;     2.14;     1.59;     0.91;     1.59;
2008;12;     1.70;     1.69;     0.24;     0.07;     0.61;     2.10;     1.85;     1.86;     1.50;     0.74;     2.61;     0.95;     1.08;     1.45;     0.92;     0.26;     1.06;
2009;12;    -0.11;    -0.12;     0.55;    -0.45;     0.46;     0.06;     0.87;     0.87;     1.36;     1.17;     0.87;     1.54;    -0.41;     0.12;    -0.10;    -0.38;     0.32;
2010;12;    -4.65;    -4.66;    -2.33;    -3.71;    -3.52;    -4.31;    -3.62;    -3.62;    -2.88;    -2.57;    -3.79;    -2.08;    -4.81;    -4.42;    -4.58;    -4.79;    -3.66;
2011;12;     4.43;     4.42;     3.47;     2.53;     3.72;     4.20;     4.92;     4.92;     4.89;     4.15;     4.48;     4.36;     3.49;     4.53;     3.97;     3.27;     3.90;
2012;12;     0.45;     0.44;     1.64;     0.45;     2.16;     0.17;     2.55;     2.54;     3.48;     2.79;     0.98;     3.15;     0.41;     1.49;     1.33;     1.11;     1.49;
2013;12;     4.05;     4.04;     2.26;     1.50;     3.62;     4.51;     5.04;     5.05;     4.94;     3.72;     5.02;     3.75;     3.43;     4.37;     3.91;     3.30;     3.56;
