Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1923;07;    57.4;    57.1;    35.2;    58.6;    50.8;    65.5;    95.7;    96.1;    61.8;    45.6;    99.6;    56.8;    62.8;    52.8;    51.3;    49.4;    62.1;
1924;07;    75.4;    74.9;   139.3;   161.2;    98.8;    88.0;    80.0;    79.7;   113.6;    87.3;    89.9;    73.9;    80.2;    69.3;    72.1;    75.5;   106.7;
1925;07;    48.9;    48.9;   100.2;   118.5;    91.1;    30.2;    51.7;    51.9;    63.2;    58.6;    67.4;    60.8;    89.3;    48.0;    59.3;    73.4;    75.6;
1926;07;   129.3;   129.6;   128.3;   201.2;   119.5;   118.1;   125.9;   126.1;   107.4;    81.0;   111.4;    69.0;   177.5;   151.2;   149.2;   146.7;   140.6;
1927;07;   133.5;   134.1;   112.0;   119.2;    94.0;   127.2;   108.6;   108.5;   110.5;   116.5;   117.6;   107.6;   133.9;   116.2;   112.8;   108.5;   116.4;
1928;07;    45.8;    46.1;    22.9;    41.7;    51.7;    52.0;    52.4;    52.5;    63.7;    40.8;    53.3;    33.6;    35.4;    50.4;    48.8;    46.8;    45.9;
1929;07;    30.4;    30.3;    99.6;    99.2;    73.6;    37.2;    45.8;    45.6;    64.2;    87.6;    42.8;   102.1;    45.6;    32.4;    39.9;    49.3;    65.4;
1930;07;   162.2;   161.4;   164.1;   133.5;    99.7;   157.7;    65.0;    65.0;   114.1;   125.1;    69.3;   120.1;   140.5;    91.8;    93.4;    95.3;   120.5;
1931;07;    94.4;    94.2;   160.3;   143.7;   105.7;   141.3;   160.2;   160.9;   105.8;    97.5;   227.3;   124.0;   113.3;   100.2;   101.7;   103.5;   132.8;
1932;07;    84.1;    84.3;   135.0;   141.4;    68.3;    64.6;    97.2;    97.4;    70.1;    93.9;    70.2;    87.6;   126.3;    84.9;    89.9;    96.1;   101.8;
1933;07;    53.7;    53.5;    76.1;   106.0;    62.1;    51.4;    75.4;    75.5;    58.5;    42.0;    82.7;    32.8;    77.6;    48.7;    55.7;    64.4;    72.2;
1934;07;    44.1;    43.9;    66.3;    72.1;    46.4;    31.0;    50.2;    49.8;    68.1;    43.8;    37.6;    45.0;    58.0;    48.6;    48.4;    48.1;    55.3;
1935;07;    44.0;    44.0;    39.5;    61.6;    22.1;    46.9;    63.6;    63.9;    42.8;    22.6;    58.0;    22.1;    44.3;    35.0;    33.0;    30.5;    46.8;
1936;07;    74.0;    73.9;   152.6;   146.3;   117.7;    92.5;   117.6;   117.6;   112.5;   111.4;   118.1;   119.0;   106.2;    81.2;    95.9;   114.4;   118.0;
1937;07;    82.6;    82.5;    56.5;    70.8;    47.8;    92.8;    79.7;    80.1;    48.4;    38.3;   114.0;    38.3;   119.2;    77.3;    69.2;    58.9;    71.9;
1938;07;    68.7;    68.9;   136.8;   105.1;    80.0;    52.2;    82.1;    81.8;    75.3;    90.8;    68.7;   100.4;    71.3;    59.5;    66.5;    75.3;    86.3;
1939;07;    86.0;    86.2;   140.4;   121.7;    67.3;    82.1;    97.2;    97.3;    90.1;    63.6;   111.4;    81.1;   127.6;    70.0;    76.2;    83.9;   100.2;
1940;07;    74.7;    74.9;   157.0;   165.4;   128.4;    78.1;   107.3;   106.9;   108.8;   138.8;    99.6;   160.7;   149.3;    82.3;   117.6;   162.1;   125.6;
1941;07;    86.1;    85.5;    89.6;   158.7;    75.4;    89.2;    70.7;    71.0;    56.8;    54.1;    72.5;    65.4;   109.0;    87.8;    95.8;   105.9;    95.3;
1942;07;   111.6;   111.8;   139.4;   135.4;   105.5;   124.7;   152.9;   153.0;   145.4;   120.8;   140.5;   111.8;   109.1;   108.4;   102.9;    95.9;   129.3;
1943;07;    31.6;    31.7;    94.3;   104.1;    52.2;    36.5;    40.4;    40.4;    45.1;    55.5;    34.1;    52.5;    32.1;    32.9;    33.6;    34.4;    58.2;
1944;07;    53.1;    53.1;   123.6;   155.8;   133.6;    55.1;    88.1;    87.7;   137.5;   105.6;    59.3;    98.8;    83.3;    55.6;    73.7;    96.4;   105.4;
1945;07;    70.5;    71.1;    70.1;    77.6;    66.4;    78.6;    91.0;    91.6;    70.8;    58.3;   114.9;    76.8;    85.0;    75.9;    83.0;    92.0;    78.4;
1946;07;    50.4;    50.9;    92.1;   157.5;    34.1;    44.2;    43.3;    43.3;    56.7;    61.6;    45.6;    66.5;    93.9;    28.9;    42.2;    59.0;    76.2;
1947;07;    47.5;    47.3;    80.5;    89.9;    67.6;    73.6;    62.9;    63.1;    48.2;    67.9;    78.3;    67.7;    46.3;    48.5;    56.0;    65.4;    67.8;
1948;07;    76.8;    76.8;   146.9;   176.5;   139.1;    88.8;   122.9;   123.1;   155.8;   106.5;   118.0;   101.2;   115.3;    72.4;    86.4;   103.9;   128.6;
1949;07;    41.4;    41.6;    23.2;    48.1;    20.8;    55.3;    44.6;    44.7;    46.3;     8.1;    46.1;     2.7;    47.4;    25.8;    25.8;    25.9;    38.4;
1950;07;    84.5;    84.2;   108.1;   122.5;   110.6;   118.8;   103.0;   103.1;   101.2;   104.6;   118.5;   116.3;    82.1;    70.4;    84.1;   101.4;   105.0;
1951;07;    51.8;    51.9;    87.2;   105.4;    41.8;    52.1;    69.0;    69.3;    66.9;    45.3;    70.9;    51.5;    65.8;    57.2;    56.2;    55.0;    71.0;
1952;07;    40.3;    40.2;    25.3;    30.1;    31.7;    38.3;    63.3;    63.1;    77.6;    35.8;    58.8;    25.8;    30.6;    36.7;    30.9;    23.5;    41.8;
